producto_id,nombre,categoria_id,marca,precio,costo,stock
89,IPA Valle Azul 1,9,Valle Azul,2271.6,1553.77,109
90,Decanter Valle Azul 1,10,Valle Azul,14851.49,7180.82,204
91,Cabernet Sauvignon La Reserva 750,1,La Reserva,14290.14,9715.25,44
92,Blend Blanco La Reserva 750,2,La Reserva,9438.11,5719.78,90
93,Rosado Dulce Valle Azul 750,3,Valle Azul,5562.12,3237.49,83
94,Extra Brut La Reserva 750,4,La Reserva,27726.55,16359.1,114
95,Bourbon Monte Claro 750,5,Monte Claro,65026.82,46081.69,71
96,Gin Citrus Finca Sur 750,6,Finca Sur,21718.08,11949.08,35
97,Vodka Citrus Casa Andina 750,7,Casa Andina,7949.03,5098.55,105
98,Vermut Rosso Valle Azul 750,8,Valle Azul,4021.32,2079.44,14
99,Golden Ale Bodega Norte 2,9,Bodega Norte,8092.04,5689.64,29
100,Copa Cristal Viña Central 6,10,Viña Central,29631.7,11755.94,138
