pago_id,pedido_id,fecha_pago,monto,metodo_pago,estado
50,50,2025-02-17,0.0,Transferencia,Rechazado
51,51,2025-10-31,107756.37,Tarjeta credito,Aprobado
52,52,2025-08-10,63975.69,Mercado Pago,Aprobado
53,53,2024-11-01,24485.65,Efectivo,Aprobado
54,54,2026-04-17,29427.11,Transferencia,Aprobado
55,55,2026-07-08,19926.24,Tarjeta debito,Aprobado
56,56,2025-08-11,56307.51,Tarjeta credito,Aprobado
57,57,2024-09-11,150032.31,Mercado Pago,Aprobado
58,58,2025-12-12,1763154.94,Mercado Pago,Aprobado
59,59,2024-02-18,30277.28,Tarjeta credito,Aprobado
60,60,2025-01-03,115361.44,Tarjeta debito,Aprobado
61,61,2025-04-12,49878.94,Tarjeta credito,Aprobado
62,62,2024-06-07,102032.85,Tarjeta credito,Aprobado
63,63,2025-12-01,24638.43,Mercado Pago,Aprobado
64,64,2024-08-19,15138.98,Transferencia,Aprobado
65,65,2024-11-10,63932.86,Tarjeta credito,Aprobado
66,66,2024-09-24,80843.97,Tarjeta credito,Aprobado
67,67,2024-07-09,24259.22,Tarjeta credito,Aprobado
68,68,2024-11-08,96763.14,Efectivo,Aprobado
69,69,2026-08-31,22956.36,Tarjeta credito,Aprobado
70,70,2025-12-17,0.0,Tarjeta debito,Rechazado
71,71,2024-12-19,31956.84,Tarjeta credito,Pendiente
72,72,2025-09-13,16140.36,Tarjeta credito,Pendiente
73,73,2025-01-23,24801.74,Transferencia,Aprobado
74,74,2024-10-24,49672.27,Tarjeta credito,Aprobado
75,75,2025-05-14,9045.23,Mercado Pago,Aprobado
76,76,2025-02-16,52237.3,Tarjeta credito,Aprobado
77,77,2025-05-16,93638.62,Transferencia,Aprobado
78,78,2024-06-16,0.0,Mercado Pago,Rechazado
79,79,2024-05-16,0.0,Tarjeta credito,Rechazado
80,80,2024-09-30,22978.62,Tarjeta credito,Aprobado
81,81,2026-04-25,66530.61,Tarjeta debito,Aprobado
82,82,2024-08-31,29935.34,mercado pago,Aprobado
83,83,2024-09-15,77748.63,Mercado Pago,Aprobado
84,84,2025-12-21,20581.12,Efectivo,Aprobado
85,85,2025-02-17,0.0,Mercado Pago,Rechazado
86,86,2025-12-17,16984.64,Tarjeta debito,Aprobado
87,87,2024-10-02,32161.82,Tarjeta debito,Aprobado
88,88,2024-08-05,23877.81,Tarjeta credito,Aprobado
89,89,2024-04-27,73591.85,Transferencia,Aprobado
90,90,2025-09-13,102508.11,Tarjeta credito,Aprobado
91,91,2024-05-06,62636.52,Tarjeta credito,Pendiente
92,92,2026-08-23,77593.37,Tarjeta credito,Aprobado
93,93,2025-12-29,228174.9,Tarjeta debito,Aprobado
94,94,2026-01-05,64327.88,Tarjeta credito,Aprobado
95,95,2025-08-02,71052.14,Tarjeta credito,Aprobado
96,96,2024-03-17,53973.09,Tarjeta credito,Aprobado
97,97,2025-12-25,213462.0,Transferencia,Aprobado
98,98,2025-07-02,12697.82,Tarjeta debito,Aprobado
99,99,2026-04-23,41543.91,Transferencia,Aprobado
100,100,2026-01-09,0.0,Efectivo,Rechazado
101,101,2024-07-01,14138.4,Mercado Pago,Aprobado
102,102,2025-12-05,0.0,Tarjeta credito,Rechazado
103,103,2024-10-02,112492.05,Mercado Pago,Aprobado
104,104,2024-04-05,0.0,Mercado Pago,Rechazado
105,105,2024-10-17,34772.52,Mercado Pago,Aprobado
106,106,2026-04-07,138918.6,Transferencia,Aprobado
107,107,2024-05-18,19975.92,Tarjeta credito,Aprobado
108,108,2026-04-17,105886.08,Tarjeta credito,Aprobado
109,109,2024-12-05,104060.74,Transferencia,Aprobado
110,110,2025-07-14,39591.74,Tarjeta debito,Aprobado
111,111,2024-05-30,33379.0,Mercado Pago,Pendiente
112,112,2025-05-21,88397.68,Transferencia,Aprobado
113,113,2025-09-14,224413.6,Transferencia,Aprobado
114,114,2025-11-10,65200.86,Tarjeta credito,Pendiente
115,115,2024-11-23,40655.72,Mercado Pago,Aprobado
116,116,2026-01-15,36434.84,Tarjeta debito,Aprobado
117,117,2024-12-08,195542.76,Tarjeta credito,Aprobado
118,118,2025-01-30,182176.32,Transferencia,Aprobado
119,119,2025-01-07,66069.28,Efectivo,Aprobado
120,120,2024-12-24,191122.92,Tarjeta credito,Aprobado
121,121,2024-09-07,29187.36,Tarjeta credito,Aprobado
122,122,2025-01-15,18277.7,Tarjeta credito,Pendiente
123,123,2024-05-24,117161.76,Tarjeta credito,Aprobado
124,124,2026-08-31,72827.4,Transferencia,Aprobado
125,125,2025-06-01,33420.35,Transferencia,Aprobado
126,126,2025-08-10,13777.5,Tarjeta credito,Aprobado
127,127,2025-07-28,92284.43,Tarjeta credito,Aprobado
128,128,2025-10-26,41868.24,Tarjeta credito,Aprobado
129,129,2024-03-08,11483.52,Mercado Pago,Pendiente
130,130,2025-08-01,5447.33,Tarjeta debito,Aprobado
131,131,2024-04-12,132889.6,Tarjeta debito,Aprobado
132,132,2026-05-24,12796.79,Mercado Pago,Aprobado
133,133,2025-11-01,0.0,Mercado Pago,Rechazado
134,134,2026-03-17,41780.13,Tarjeta credito,Aprobado
135,135,2024-09-04,4302.09,Transferencia,Aprobado
136,136,2024-04-01,18290.24,Transferencia,Aprobado
137,137,2024-03-14,63628.64,Tarjeta credito,Aprobado
138,138,2025-02-14,0.0,Mercado Pago,Rechazado
139,139,2025-11-30,78626.35,Tarjeta credito,Aprobado
140,140,2024-04-18,216474.38,Mercado Pago,Pendiente
141,141,2025-04-21,93272.42,Transferencia,Aprobado
142,142,2024-03-08,304687.21,Tarjeta credito,Aprobado
143,143,2024-11-23,0.0,Tarjeta debito,Rechazado
144,144,2024-08-08,0.0,Tarjeta debito,Rechazado
145,145,2024-03-12,0.0,Tarjeta credito,Rechazado
146,146,2025-03-15,150358.56,Efectivo,Aprobado
147,147,2025-12-13,131018.95,Transferencia,Aprobado
148,148,2024-05-29,34748.34,Mercado Pago,Aprobado
149,149,2025-11-21,55852.4,Tarjeta credito,Aprobado
150,150,2025-08-18,47176.87,Mercado Pago,Aprobado
151,151,2024-12-25,0.0,Tarjeta credito,Rechazado
152,152,2026-06-07,51683.8,Tarjeta credito,Aprobado
153,153,2026-08-06,29121.0,Tarjeta credito,Pendiente
154,154,2025-12-09,171516.6,Tarjeta credito,Aprobado
155,155,2026-05-10,0.0,Tarjeta credito,Rechazado
156,156,2026-05-22,167696.2,Efectivo,Aprobado
157,157,2026-08-21,60480.47,tarjeta credito,Aprobado
158,158,2025-02-28,13091.49,Tarjeta credito,Aprobado
159,159,2025-03-18,17344.56,Efectivo,Aprobado
160,160,2024-11-21,109200.84,Tarjeta debito,Aprobado
161,161,2026-07-28,103252.04,Tarjeta credito,Pendiente
162,162,2025-08-30,143956.99,Transferencia,Aprobado
163,163,2026-03-07,13418.98,Tarjeta credito,Aprobado
164,164,2024-10-11,65028.29,Tarjeta debito,Aprobado
165,165,2024-05-07,0.0,Tarjeta credito,Rechazado
166,166,2025-02-04,19557.29,Mercado Pago,Aprobado
167,167,2026-07-01,0.0,Mercado Pago,Rechazado
168,168,2024-12-21,33213.97,Tarjeta credito,Aprobado
169,169,2025-06-16,0.0,Mercado Pago,Rechazado
170,170,2024-05-11,56140.86,Tarjeta debito,Pendiente
171,171,2026-08-27,50147.77,Tarjeta debito,Aprobado
172,172,2026-03-24,139118.86,Tarjeta credito,Aprobado
173,173,2024-04-23,6957.67,Transferencia,Aprobado
174,174,2025-06-30,167816.26,Mercado Pago,Aprobado
175,175,2025-11-06,68520.54,Transferencia,Aprobado
176,176,2026-07-11,21424.85,Tarjeta debito,Aprobado
177,177,2025-03-21,495435.45,Tarjeta credito,Aprobado
178,178,2025-01-27,0.0,Tarjeta credito,Rechazado
179,179,2025-02-19,48028.84,Tarjeta credito,Aprobado
180,180,2024-10-09,31024.29,Efectivo,Aprobado
181,181,2024-02-01,59189.47,Tarjeta credito,Aprobado
182,182,2024-04-02,8923.55,Mercado Pago,Aprobado
183,183,2024-02-14,16945.3,Tarjeta credito,Aprobado
184,184,2024-05-12,94532.24,Tarjeta debito,Aprobado
185,185,2025-05-09,37761.67,Mercado Pago,Aprobado
186,186,2025-12-13,40896.42,Tarjeta credito,Pendiente
187,187,2024-04-17,10994.4,Mercado Pago,Aprobado
188,188,2025-11-03,0.0,Mercado Pago,Rechazado
189,189,2025-06-10,13639.18,Mercado Pago,Aprobado
190,190,2024-04-14,40759.5,Tarjeta credito,Aprobado
191,191,2025-11-09,246915.39,Tarjeta credito,Aprobado
192,192,2025-01-13,57012.39,Tarjeta credito,Aprobado
193,193,2025-11-29,40498.72,Mercado Pago,Aprobado
194,194,2025-06-29,90702.01,Tarjeta debito,Aprobado
195,195,2025-05-24,50273.62,Tarjeta debito,Aprobado
196,196,2025-12-05,470515.59,Tarjeta credito,Aprobado
197,197,2024-01-22,34707.42,Tarjeta credito,Aprobado
198,198,2025-08-20,21605.64,Transferencia,Aprobado
199,199,2026-03-04,25045.3,Tarjeta credito,Aprobado
200,200,2025-05-13,111826.47,Mercado Pago,Aprobado
201,201,2026-05-26,8763.39,Mercado Pago,Aprobado
202,202,2026-07-23,7553.09,Mercado Pago,Aprobado
203,203,2024-10-09,233983.24,Mercado Pago,Aprobado
204,204,2024-10-22,41806.43,Tarjeta debito,Pendiente
205,205,2024-11-06,35635.8,Mercado Pago,Aprobado
206,206,2025-05-15,99200.47,Tarjeta credito,Aprobado
207,207,2026-05-30,5161.27,Efectivo,Aprobado
208,208,2024-03-23,60778.24,Tarjeta credito,Pendiente
209,209,2026-07-14,37464.96,Transferencia,Aprobado
210,210,2025-08-16,237231.94,Tarjeta debito,Aprobado
211,211,2025-07-12,70236.77,Transferencia,Aprobado
212,212,2025-04-24,31684.22,Tarjeta credito,Pendiente
213,213,2026-03-16,9527.91,Transferencia,Aprobado
214,214,2025-02-06,63033.31,Tarjeta credito,Aprobado
215,215,2025-10-27,23556.27,Tarjeta credito,Aprobado
216,216,2025-12-19,80965.02,Transferencia,Aprobado
217,217,2024-04-28,0.0,transferencia,Rechazado
218,218,2025-12-01,17699.59,Transferencia,Aprobado
219,219,2024-09-05,66887.22,Transferencia,Aprobado
220,220,2024-10-08,0.0,Tarjeta credito,Rechazado
221,221,2025-07-31,97331.37,Mercado Pago,Aprobado
222,222,2025-04-16,649637.13,Efectivo,Aprobado
223,223,2024-12-26,128301.57,Tarjeta credito,Aprobado
224,224,2025-05-10,6244.81,Tarjeta debito,Aprobado
225,225,2026-04-30,0.0,Efectivo,Rechazado
226,226,2025-05-02,70213.09,Mercado Pago,Aprobado
227,227,2026-08-05,43324.6,Tarjeta credito,Aprobado
228,228,2026-05-12,28985.7,Efectivo,Aprobado
229,229,2024-07-19,137424.25,Tarjeta debito,Aprobado
230,230,2024-07-15,409846.21,Tarjeta credito,Aprobado
231,231,2024-12-14,64226.53,Mercado Pago,Pendiente
232,232,2026-04-01,18210.6,Mercado Pago,Aprobado
233,233,2024-12-06,106801.79,Mercado Pago,Aprobado
234,234,2024-11-18,38743.65,Transferencia,Aprobado
235,235,2024-02-02,47929.12,Mercado Pago,Aprobado
236,236,2024-03-05,23624.6,Tarjeta debito,Pendiente
237,237,2026-08-12,88188.48,Transferencia,Pendiente
238,238,2025-10-29,10301.12,Tarjeta credito,Aprobado
239,239,2026-01-27,109874.97,Tarjeta credito,Aprobado
240,240,2026-07-16,29308.66,Mercado Pago,Aprobado
241,241,2025-08-04,0.0,Tarjeta credito,Rechazado
242,242,2024-10-16,55686.03,Tarjeta debito,Pendiente
243,243,2024-03-21,16228.89,Mercado Pago,Aprobado
244,244,2026-01-02,141764.19,Transferencia,Aprobado
245,245,2024-03-22,8277.6,Transferencia,Pendiente
246,246,2025-12-19,83252.92,Tarjeta debito,Pendiente
247,247,2024-03-29,30979.46,Tarjeta credito,Aprobado
248,248,2025-01-26,0.0,Tarjeta debito,Rechazado
249,249,2026-07-19,14798.38,Mercado Pago,Aprobado
250,250,2026-04-07,0.0,Tarjeta debito,Rechazado
251,251,2026-08-07,46324.61,Mercado Pago,Aprobado
252,252,2024-10-30,66883.87,mercado pago,Aprobado
253,253,2025-09-14,107309.64,Mercado Pago,Aprobado
254,254,2025-02-22,23218.56,Tarjeta credito,Aprobado
255,255,2024-05-12,0.0,Tarjeta credito,Rechazado
256,256,2025-08-16,32742.2,Tarjeta debito,Aprobado
257,257,2024-12-27,8084.68,Transferencia,Aprobado
258,258,2024-07-29,122146.92,Efectivo,Aprobado
259,259,2024-12-02,57691.34,Efectivo,Aprobado
260,260,2024-02-04,69776.55,Tarjeta credito,Pendiente
261,261,2026-08-20,29473.43,Tarjeta credito,Aprobado
262,262,2026-01-20,160606.4,Mercado Pago,Aprobado
263,263,2024-12-03,54134.95,Mercado Pago,Aprobado
264,264,2024-12-26,12053.87,Efectivo,Aprobado
265,265,2025-11-12,0.0,Mercado Pago,Rechazado
266,266,2026-07-12,34725.94,Transferencia,Pendiente
267,267,2024-04-13,66800.39,Tarjeta credito,Aprobado
268,268,2026-08-01,122989.08,Tarjeta debito,Aprobado
269,269,2024-02-18,0.0,Mercado Pago,Rechazado
270,270,2025-06-05,0.0,Tarjeta debito,Rechazado
271,271,2024-04-09,10710.84,Efectivo,Aprobado
272,272,2024-10-19,17872.7,Transferencia,Aprobado
273,273,2024-08-03,0.0,Tarjeta debito,Rechazado
274,274,2026-06-25,8653.05,Transferencia,Aprobado
275,275,2024-04-08,68872.51,Transferencia,Aprobado
276,276,2026-03-29,11192.72,Mercado Pago,Aprobado
277,277,2026-05-03,106260.28,Transferencia,Aprobado
278,278,2026-04-03,180540.09,Mercado Pago,Aprobado
279,279,2025-06-17,26815.34,Transferencia,Aprobado
280,280,2025-11-20,28581.08,Mercado Pago,Aprobado
281,281,2024-08-08,27125.82,Mercado Pago,Aprobado
282,282,2025-05-11,0.0,Efectivo,Rechazado
283,283,2025-10-10,52796.01,Tarjeta credito,Aprobado
284,284,2025-04-02,115793.01,Transferencia,Aprobado
285,285,2025-12-22,25048.25,Transferencia,Aprobado
286,286,2025-02-25,25320.24,Tarjeta credito,Aprobado
287,287,2026-07-26,2102184.44,Tarjeta credito,Aprobado
288,288,2026-06-15,125383.45,Mercado Pago,Aprobado
289,289,2024-12-08,36280.33,Mercado Pago,Aprobado
290,290,2024-08-22,36654.74,Tarjeta credito,Aprobado
291,291,2026-05-18,259244.04,Efectivo,Aprobado
292,292,2025-12-05,53465.06,Tarjeta credito,Aprobado
293,293,2024-03-19,99346.39,Mercado Pago,Pendiente
294,294,2024-06-05,95895.51,Tarjeta credito,Aprobado
295,295,2026-01-31,428159.76,Transferencia,Aprobado
296,296,2024-04-07,0.0,Tarjeta credito,Rechazado
297,297,2026-01-01,15689.77,Tarjeta debito,Aprobado
298,298,2025-10-20,32148.68,Tarjeta credito,Aprobado
299,299,2025-09-02,60738.29,Mercado Pago,Aprobado
300,300,2026-06-12,13970.69,Mercado Pago,Aprobado
301,301,2026-01-20,54456.51,Efectivo,Aprobado
302,302,2024-06-19,14804.41,Mercado Pago,Aprobado
303,303,2024-01-13,129410.8,Tarjeta credito,Aprobado
304,304,2024-06-20,51568.5,Tarjeta credito,Aprobado
305,305,2025-04-19,168000.61,Tarjeta credito,Aprobado
306,306,2025-05-02,20145.65,Tarjeta credito,Aprobado
307,307,2025-12-11,174211.5,Efectivo,Aprobado
308,308,2026-06-25,21405.54,Mercado Pago,Pendiente
309,309,2024-11-09,8137.25,Efectivo,Pendiente
310,310,2024-10-14,35101.68,Mercado Pago,Aprobado
311,311,2024-08-02,9421.72,Mercado Pago,Aprobado
312,312,2026-06-14,63111.98,Mercado Pago,Pendiente
313,313,2024-04-30,71085.51,Tarjeta debito,Aprobado
314,314,2026-05-12,23549.25,Efectivo,Aprobado
315,315,2025-12-14,222047.09,Transferencia,Aprobado
316,316,2024-12-20,41798.52,Transferencia,Aprobado
317,317,2024-07-22,83135.04,Efectivo,Aprobado
318,318,2026-08-01,96685.86,Tarjeta credito,Aprobado
319,319,2025-10-11,0.0,Mercado Pago,Rechazado
320,320,2024-05-14,25786.88,Efectivo,Aprobado
321,321,2026-01-25,11279.48,Tarjeta credito,Aprobado
322,322,2025-11-14,33780.45,Tarjeta credito,Aprobado
323,323,2025-12-06,10236.82,Tarjeta credito,Aprobado
324,324,2024-12-15,191157.67,Transferencia,Aprobado
325,325,2024-03-30,269848.58,Efectivo,Aprobado
326,326,2026-08-24,129766.47,Tarjeta credito,Aprobado
327,327,2024-02-27,40868.01,Tarjeta credito,Aprobado
328,328,2024-07-23,0.0,Tarjeta credito,Rechazado
329,329,2026-05-02,69546.33,Transferencia,Aprobado
330,330,2026-03-26,29106.02,Mercado Pago,Pendiente
331,331,2024-08-06,23131.66,Tarjeta debito,Aprobado
332,332,2025-08-26,7667.68,Tarjeta credito,Aprobado
333,333,2026-07-13,66030.22,Tarjeta debito,Aprobado
334,334,2026-02-09,103259.12,Tarjeta credito,Aprobado
335,335,2025-11-25,203842.48,Tarjeta debito,Aprobado
336,336,2025-08-14,40229.89,Tarjeta credito,Aprobado
337,337,2024-04-03,18267.43,Tarjeta credito,Aprobado
338,338,2026-06-26,21986.32,Tarjeta credito,Aprobado
339,339,2025-01-21,9520.14,Tarjeta credito,Aprobado
340,340,2025-12-24,20480.92,Tarjeta debito,Aprobado
341,341,2025-09-03,38203.17,Tarjeta credito,Aprobado
342,342,2026-02-25,41304.04,Tarjeta credito,Aprobado
343,343,2024-08-23,0.0,Tarjeta credito,Rechazado
344,344,2024-10-21,0.0,Mercado Pago,Rechazado
345,345,2024-12-22,0.0,Tarjeta credito,Rechazado
346,346,2025-11-17,83323.13,Mercado Pago,Aprobado
347,347,2025-01-08,65287.49,Tarjeta debito,Aprobado
348,348,2025-08-27,69170.37,Tarjeta credito,Aprobado
349,349,2025-01-11,49790.21,Transferencia,Aprobado
350,350,2024-09-30,91342.21,Mercado Pago,Aprobado
351,351,2025-10-13,6016.99,Efectivo,Aprobado
352,352,2024-02-11,0.0,Transferencia,Rechazado
353,353,2026-01-12,145591.21,Efectivo,Aprobado
354,354,2026-03-23,6604.32,Tarjeta debito,Aprobado
355,355,2025-03-25,53094.64,Efectivo,Aprobado
356,356,2024-10-18,70662.96,Tarjeta credito,Aprobado
357,357,2025-10-12,51296.28,Mercado Pago,Aprobado
358,358,2024-12-04,23783.73,Transferencia,Aprobado
359,359,2024-08-05,168863.1,Tarjeta credito,Aprobado
360,360,2024-12-19,40302.3,Tarjeta credito,Aprobado
361,361,2025-08-01,26237.6,Tarjeta credito,Aprobado
362,362,2026-08-04,159919.67,Tarjeta debito,Aprobado
363,363,2024-10-23,58653.65,Mercado Pago,Aprobado
364,364,2024-10-13,83727.06,Tarjeta debito,Aprobado
365,365,2025-04-05,37691.52,Transferencia,Pendiente
366,366,2025-02-24,75501.71,Tarjeta credito,Aprobado
367,367,2025-01-17,5541.25,Transferencia,Aprobado
368,368,2026-06-15,61855.57,Tarjeta credito,Aprobado
369,369,2026-03-28,62074.3,Mercado Pago,Aprobado
370,370,2024-09-07,85702.79,Tarjeta debito,Aprobado
371,371,2026-03-12,29506.8,Efectivo,Aprobado
372,372,2026-02-28,74908.24,Mercado Pago,Pendiente
373,373,2026-05-17,154227.86,Transferencia,Aprobado
374,374,2026-07-23,15562.44,Mercado Pago,Aprobado
375,375,2026-02-09,12658.46,Tarjeta credito,Aprobado
376,376,2025-09-01,49156.37,Tarjeta debito,Aprobado
377,377,2024-11-10,17350.01,Tarjeta credito,Aprobado
378,378,2025-01-28,40432.44,Transferencia,Aprobado
379,379,2025-06-14,7356.05,Tarjeta credito,Aprobado
380,380,2025-01-20,71445.82,Mercado Pago,Aprobado
381,381,2024-12-19,14009.11,Tarjeta credito,Aprobado
382,382,2024-12-03,77592.04,Efectivo,Aprobado
383,383,2024-09-10,34545.48,Tarjeta credito,Aprobado
384,384,2024-06-30,91227.16,Tarjeta debito,Aprobado
385,385,2026-07-13,14910.16,Tarjeta debito,Aprobado
386,386,2024-03-17,64945.36,Tarjeta credito,Aprobado
387,387,2025-08-07,70225.98,Efectivo,Pendiente
388,388,2025-09-10,25645.49,Tarjeta debito,Aprobado
389,389,2025-06-28,57867.17,Efectivo,Aprobado
390,390,2025-05-15,89254.6,Tarjeta debito,Aprobado
391,391,2025-03-29,62643.97,Tarjeta credito,Aprobado
392,392,2024-11-08,180081.13,Tarjeta credito,Aprobado
393,393,2024-06-09,9195.14,Tarjeta debito,Aprobado
394,394,2026-01-13,12221.45,Tarjeta debito,Aprobado
395,395,2024-12-30,21005.94,Efectivo,Aprobado
396,396,2024-12-31,104599.75,Transferencia,Aprobado
397,397,2024-09-22,96163.56,Tarjeta credito,Aprobado
398,398,2024-04-19,94256.1,Tarjeta credito,Aprobado
399,399,2025-12-24,123682.38,Tarjeta credito,Aprobado
400,400,2024-10-18,23271.9,Mercado Pago,Aprobado
401,401,2025-08-12,27385.99,Mercado Pago,Aprobado
402,402,2024-08-07,39273.06,Tarjeta credito,Aprobado
403,403,2024-05-23,184816.0,Tarjeta debito,Aprobado
404,404,2025-08-03,66546.69,Tarjeta credito,Aprobado
405,405,2025-10-12,40324.82,Mercado Pago,Aprobado
406,406,2026-05-21,31276.14,Tarjeta credito,Aprobado
407,407,2024-10-12,104245.69,Mercado Pago,Aprobado
408,408,2026-08-29,84996.22,Tarjeta credito,Aprobado
409,409,2025-03-16,16353.86,Tarjeta credito,Aprobado
410,410,2024-06-05,92646.45,Transferencia,Aprobado
411,411,2024-03-11,19610.19,Mercado Pago,Aprobado
412,412,2024-01-29,117250.12,Transferencia,Aprobado
413,413,2024-05-09,42150.66,Tarjeta debito,Pendiente
414,414,2024-11-23,39543.33,Mercado Pago,Aprobado
415,415,2024-01-19,205464.41,Efectivo,Pendiente
416,416,2025-10-29,0.0,Mercado Pago,Rechazado
417,417,2026-07-07,88962.05,Tarjeta credito,Aprobado
418,418,2026-02-19,38346.81,Efectivo,Aprobado
419,419,2025-03-06,49681.24,Transferencia,Aprobado
420,420,2024-11-09,30255.3,Tarjeta debito,Aprobado
421,421,2025-04-26,0.0,Tarjeta debito,Rechazado
422,422,2024-06-13,65195.01,Tarjeta credito,Aprobado
423,423,2025-07-04,22713.99,Tarjeta credito,Aprobado
424,424,2025-11-15,17286.56,Tarjeta credito,Aprobado
425,425,2026-08-23,47167.12,Tarjeta debito,Aprobado
426,426,2024-09-14,0.0,Mercado Pago,Rechazado
427,427,2026-06-23,89993.0,Tarjeta credito,Aprobado
428,428,2026-03-27,22755.24,Mercado Pago,Aprobado
429,429,2025-08-11,59660.6,Tarjeta debito,Pendiente
430,430,2025-07-12,0.0,Tarjeta credito,Rechazado
431,431,2025-07-11,32026.96,Transferencia,Aprobado
432,432,2025-05-31,0.0,Transferencia,Rechazado
433,433,2024-12-30,19791.16,Tarjeta debito,Aprobado
434,434,2025-06-27,20922.18,Transferencia,Aprobado
435,435,2026-01-06,117002.97,Mercado Pago,Aprobado
436,436,2024-10-30,58945.39,Efectivo,Aprobado
437,437,2024-03-17,87391.44,Transferencia,Aprobado
438,438,2025-02-24,47227.18,Tarjeta credito,Aprobado
439,439,2024-03-13,20142.78,Tarjeta credito,Aprobado
440,440,2025-11-19,39732.81,Tarjeta debito,Aprobado
441,441,2025-04-10,50100.47,Tarjeta credito,Pendiente
442,442,2025-06-20,702088.83,Mercado Pago,Aprobado
443,443,2025-10-15,162371.07,Tarjeta debito,Aprobado
444,444,2024-12-31,11046.04,Transferencia,Aprobado
445,445,2025-08-02,22581.81,Efectivo,Aprobado
446,446,2024-02-12,4644.35,Transferencia,Aprobado
447,447,2024-01-30,11294.89,Transferencia,Aprobado
448,448,2024-09-16,62651.71,Tarjeta credito,Aprobado
449,449,2024-06-15,69509.78,Transferencia,Aprobado
450,450,2024-04-04,35466.41,Transferencia,Aprobado
451,451,2026-01-12,71009.44,Mercado Pago,Aprobado
452,452,2024-06-21,91434.36,Tarjeta credito,Aprobado
453,453,2025-07-05,57903.18,Tarjeta credito,Aprobado
454,454,2026-05-22,94551.72,Mercado Pago,Aprobado
455,455,2026-03-28,21263.12,Tarjeta credito,Aprobado
456,456,2024-08-12,99689.2,Tarjeta credito,Aprobado
457,457,2024-09-27,81699.81,Tarjeta credito,Pendiente
458,458,2025-12-23,119587.01,Mercado Pago,Aprobado
459,459,2024-11-18,55624.82,Mercado Pago,Aprobado
460,460,2024-08-17,6763.18,Tarjeta credito,Aprobado
461,461,2024-06-24,16524.59,Tarjeta debito,Aprobado
462,462,2024-12-28,69970.41,Transferencia,Aprobado
463,463,2025-11-23,24529.61,Tarjeta credito,Aprobado
464,464,2025-08-25,110929.74,Tarjeta credito,Aprobado
465,465,2025-09-21,65786.6,Mercado Pago,Aprobado
466,466,2026-05-05,28005.36,Tarjeta credito,Aprobado
