detalle_id,pedido_id,producto_id,cantidad,precio_unitario
84,35,16,1,11852.58
85,36,32,12,7509.37
86,37,63,1,9758.24
87,38,4,2,9475.92
88,39,88,4,3836.18
89,39,37,2,12655.4
90,40,72,1,11962.17
91,40,23,4,11144.16
92,41,74,1,18216.49
93,41,47,1,12848.92
94,42,87,1,15009.38
95,42,39,1,8008.24
96,43,4,1,9287.45
97,44,51,1,8895.75
98,45,2,1,6589.12
99,45,36,1,19684.98
100,45,40,2,29671.46
101,45,1,2,9213.25
102,46,4,1,9325.74
103,47,74,1,17013.96
104,48,12,3,14164.42
105,49,89,2,2134.08
106,49,22,1,11676.49
107,50,88,1,3956.1
108,51,82,4,16554.08
109,51,70,1,32342.93
110,51,38,2,4598.56
111,52,34,1,11520.07
112,52,17,2,26227.81
113,53,22,1,11025.34
114,53,37,1,13460.31
115,54,24,1,14427.25
116,54,76,1,8206.73
117,54,2,1,6793.13
118,55,36,1,19926.24
119,56,73,4,6846.67
120,56,40,1,28920.83
121,57,71,4,10566.69
122,57,16,1,11702.54
123,57,27,1,12708.88
124,57,40,3,27784.71
125,58,85,24,72984.67
126,58,42,1,11522.86
127,59,24,2,15138.64
128,60,40,4,28840.36
129,61,74,2,17958.86
130,61,91,1,13961.22
131,62,78,1,5766.22
132,62,34,1,12001.61
133,62,97,1,7939.79
134,62,85,1,68564.58
135,62,14,1,7760.65
136,63,58,2,8611.65
137,63,14,1,7415.13
138,64,14,2,7569.49
139,65,48,1,7443.14
140,65,60,1,8320.01
141,65,84,3,16056.57
142,66,73,1,6549.85
143,66,76,1,8598.47
144,66,40,2,28198.5
145,66,21,1,9298.65
146,67,52,1,14722.74
147,67,4,1,9536.48
148,68,22,1,11707.09
149,68,35,1,85056.05
150,69,34,1,11037.75
151,69,23,1,11918.61
152,70,66,1,17178.7
153,70,10,1,42076.15
154,71,62,2,15978.42
155,72,60,2,8070.18
156,73,34,2,12400.87
157,74,3,1,8328.74
158,74,14,1,8091.49
159,74,26,1,20028.2
160,74,2,2,6611.92
161,75,21,1,9045.23
162,76,94,2,26118.65
163,77,36,1,18523.06
164,77,73,12,6259.63
165,78,26,1,18295.57
166,78,30,2,28349.48
167,78,82,1,15333.43
168,78,70,4,31242.38
169,78,42,2,11335.56
170,79,16,1,10859.0
171,79,40,6,27049.93
172,80,43,1,13195.96
173,80,4,1,9782.66
174,81,52,1,15169.89
175,81,17,2,25680.36
176,82,88,1,3739.9
177,82,63,1,10157.12
178,82,24,1,16038.32
179,83,12,1,14443.97
180,83,70,2,31652.33
181,84,63,2,10290.56
182,85,76,1,8110.38
183,85,56,1,10855.6
184,86,82,1,16984.64
185,87,70,1,32161.82
186,88,32,3,7959.27
187,89,70,2,31053.94
188,89,88,3,3827.99
189,90,89,1,2164.44
190,90,64,2,9816.86
191,90,3,1,8739.08
192,90,12,3,14721.95
193,90,100,1,27805.02
194,91,32,3,7855.88
195,91,37,3,13022.96
196,92,23,1,11999.54
197,92,1,3,9512.79
198,92,68,3,12351.82
199,93,71,2,10702.46
200,93,3,4,8328.52
201,93,51,1,9472.5
202,93,69,2,4367.44
203,93,65,2,77624.26
204,94,86,2,29723.77
205,94,49,1,4880.34
206,95,4,2,10322.08
207,95,67,2,25203.99
208,96,40,1,26631.22
209,96,82,1,17096.01
210,96,64,1,10245.86
211,97,84,2,17814.95
212,97,63,1,10309.35
213,97,65,2,79711.45
214,97,3,1,8099.85
215,98,2,1,7099.07
216,98,93,1,5598.75
217,99,52,3,13847.97
218,100,11,1,13953.15
219,101,2,2,7069.2
220,102,31,1,14963.26
221,102,99,3,7838.82
222,103,21,1,8737.83
223,103,40,3,29127.1
224,103,20,3,5457.64
225,104,51,3,8790.84
226,104,43,1,12946.27
227,105,12,1,14867.66
228,105,39,1,7309.34
229,105,9,2,6297.76
230,106,1,1,8880.65
231,106,56,1,11386.95
232,106,4,1,9312.96
233,106,94,4,27334.51
234,107,2,3,6658.64
235,108,12,2,14872.06
236,108,85,1,76141.96
237,109,82,3,15535.31
238,109,51,1,9317.05
239,109,14,6,8022.96
240,110,4,1,10099.55
241,110,86,1,29492.19
242,111,21,4,8344.75
243,112,55,2,36474.26
244,112,87,1,15449.16
245,113,4,1,10034.71
246,113,69,1,4402.76
247,113,14,24,7509.67
248,113,44,1,11247.73
249,113,21,2,9248.16
250,114,63,3,9775.89
251,114,55,1,35873.19
252,115,21,1,8929.59
253,115,82,1,15712.71
254,115,24,1,16013.42
255,116,22,2,10523.97
256,116,4,1,10217.57
257,116,29,1,5169.33
258,117,84,12,16295.23
259,118,14,24,7590.68
260,119,74,2,18003.98
261,119,72,2,11757.48
262,119,2,1,6546.36
263,120,72,12,12169.13
264,120,88,12,3757.78
265,121,52,2,14593.68
266,122,51,2,9138.85
267,123,41,2,20889.53
268,123,33,2,10826.86
269,123,24,1,15334.66
270,123,1,4,9598.58
271,124,26,4,18206.85
272,125,54,1,26041.48
273,125,14,1,7378.87
274,126,68,1,13777.5
275,127,35,1,92284.43
276,128,29,2,5359.4
277,128,62,2,15574.72
278,129,16,1,11483.52
279,130,93,1,5447.33
280,131,85,1,74575.78
281,131,76,1,8561.83
282,131,82,2,17078.28
283,131,24,1,15595.43
284,132,47,1,12796.79
285,133,4,2,10350.61
286,134,62,1,15667.88
287,134,67,1,26112.25
288,135,69,1,4302.09
289,136,74,1,18290.24
290,137,21,1,8492.66
291,137,26,3,18378.66
292,138,20,1,5259.63
293,138,5,2,87786.56
294,138,95,1,64897.7
295,139,21,1,9152.17
296,139,85,1,69474.18
297,140,38,3,5024.86
298,140,88,2,3700.95
299,140,95,2,59968.7
300,140,55,2,37030.25
301,141,59,1,6620.88
302,141,21,6,9156.69
303,141,49,2,4896.94
304,141,56,2,10958.76
305,142,81,2,9984.91
306,142,34,1,12176.93
307,142,65,2,86026.37
308,142,95,1,63179.42
309,142,36,2,18654.15
310,143,85,1,73638.78
311,143,2,4,6649.31
312,144,84,1,16097.39
313,144,51,2,8878.45
314,145,26,2,18034.82
315,145,23,1,11330.7
316,146,40,3,29601.77
317,146,66,3,17701.81
318,146,51,1,8447.82
319,147,91,1,13483.13
320,147,17,4,25917.69
321,147,68,1,13865.06
322,148,34,1,12341.25
323,148,88,3,3777.26
324,148,22,1,11075.31
325,149,36,2,19742.47
326,149,84,1,16367.46
327,150,99,2,7880.9
328,150,69,2,4422.94
329,150,41,1,22569.19
330,151,92,3,9741.32
331,152,94,1,28629.19
332,152,63,1,9835.74
333,152,37,1,13218.87
334,153,62,2,14560.5
335,154,85,2,71222.78
336,154,86,1,29071.04
337,155,51,1,8851.0
338,155,63,1,9688.3
339,155,34,1,11377.97
340,156,37,4,12847.57
341,156,47,1,14206.12
342,156,21,1,9036.84
343,156,49,1,4993.48
344,156,5,1,88069.48
345,157,71,2,10040.27
346,157,27,1,12943.43
347,157,28,1,8542.13
348,157,61,1,18914.37
349,158,43,1,13091.49
350,159,66,1,17344.56
351,160,18,1,11109.48
352,160,25,1,86753.33
353,160,23,1,11338.03
354,161,70,1,31254.11
355,161,100,1,28768.49
356,161,62,1,16091.4
357,161,91,2,13569.02
358,162,1,2,9188.51
359,162,36,1,19397.39
360,162,45,1,106182.58
361,163,31,1,13418.98
362,164,4,1,10105.61
363,164,30,2,27461.34
364,165,74,2,17022.4
365,165,37,1,12587.57
366,165,5,1,92753.25
367,166,90,1,15166.89
368,166,89,2,2195.2
369,167,67,1,25450.58
370,167,94,2,26209.03
371,168,84,1,17312.8
372,168,62,1,15901.17
373,169,32,2,7386.7
374,169,6,1,37959.89
375,170,36,1,19546.58
376,170,74,2,18297.14
377,171,29,1,5162.48
378,171,84,2,16204.73
379,171,37,1,12575.83
380,172,40,3,26623.0
381,172,34,2,12412.25
382,172,87,1,13780.06
383,172,81,2,10322.65
384,173,2,1,6957.67
385,174,10,1,42042.79
386,174,29,1,5525.06
387,174,45,1,108949.12
388,174,34,1,11299.29
389,175,41,3,22840.18
390,176,79,1,4215.93
391,176,74,1,17208.92
392,177,90,4,14314.02
393,177,23,3,11384.77
394,177,25,4,91958.59
395,177,55,1,36190.7
396,178,36,2,19404.01
397,178,59,2,6578.97
398,179,84,1,17748.4
399,179,87,2,15140.22
400,180,82,1,16056.19
401,180,48,2,7484.05
402,181,13,1,6377.11
403,181,8,1,13708.64
404,181,26,2,19551.86
405,182,92,1,8923.55
406,183,51,2,8472.65
407,184,86,2,27328.85
408,184,26,2,19937.27
409,185,63,3,10455.19
410,185,59,1,6396.1
411,186,61,2,20448.21
412,187,42,1,10994.4
413,188,69,1,4612.24
414,188,99,1,7888.71
415,189,27,1,13639.18
416,190,2,1,7244.25
417,190,90,1,15332.97
418,190,88,1,3644.74
419,190,52,1,14537.54
420,191,65,3,82305.13
421,192,1,1,9152.76
422,192,46,1,18327.85
423,192,24,2,14765.89
424,193,76,2,8779.6
425,193,22,2,11469.76
426,194,85,1,75863.07
427,194,24,1,14838.94
428,195,84,2,17081.12
429,195,14,2,8055.69
430,196,36,24,19332.25
431,196,2,1,6541.59
432,197,74,2,17353.71
433,198,81,2,10802.82
434,199,67,1,25045.3
435,200,85,1,73460.85
436,200,67,1,25013.03
437,200,91,1,13352.59
438,201,51,1,8763.39
439,202,14,1,7553.09
440,203,79,2,4257.68
441,203,18,1,10980.27
442,203,91,3,14067.89
443,203,25,2,86141.97
444,204,99,1,7579.13
445,204,32,3,8189.57
446,204,92,1,9658.59
447,205,14,1,7592.07
448,205,54,1,28043.73
449,206,52,3,15178.35
450,206,40,2,26832.71
451,207,49,1,5161.27
452,208,73,2,6538.28
453,208,14,6,7950.28
454,209,91,2,14703.01
455,209,28,1,8058.94
456,210,55,1,35532.38
457,210,5,2,90135.72
458,210,56,2,10714.06
459,211,67,2,25618.03
460,211,46,1,19000.71
461,212,84,2,15842.11
462,213,4,1,9527.91
463,214,14,6,8066.12
464,214,77,1,14636.59
465,215,62,1,14515.35
466,215,58,1,9040.92
467,216,12,1,13743.53
468,216,82,3,16807.32
469,216,84,1,16799.53
470,217,82,3,16105.61
471,217,34,2,12173.68
472,217,85,1,73428.41
473,218,74,1,17699.59
474,219,2,1,6831.38
475,219,55,1,35126.04
476,219,99,1,8039.64
477,219,21,2,8445.08
478,220,14,1,7480.23
479,220,56,2,10855.62
480,221,1,1,9679.57
481,221,14,1,8005.24
482,221,55,2,34066.56
483,221,34,1,11513.44
484,222,24,3,14914.91
485,222,67,24,25203.85
486,223,95,1,66004.75
487,223,81,4,10564.33
488,223,71,2,10019.75
489,224,73,1,6244.81
490,225,85,2,77093.05
491,225,76,1,8387.33
492,226,83,1,11826.97
493,226,26,3,19462.04
494,227,83,2,11339.33
495,227,71,2,10322.97
496,228,4,3,9661.9
497,229,31,2,15048.9
498,229,14,1,7737.81
499,229,95,1,61116.94
500,229,36,2,19235.85
501,230,100,3,28374.01
502,230,32,1,8090.2
503,230,52,18,14758.1
504,230,36,2,18648.93
505,230,8,1,13690.32
506,231,2,1,7199.65
507,231,61,3,19008.96
508,232,26,1,18210.6
509,233,4,1,10373.6
510,233,67,1,23473.76
511,233,40,2,26486.43
512,233,36,1,19981.57
513,234,33,1,11059.88
514,234,54,1,27683.77
515,235,43,1,11854.43
516,235,55,1,36074.69
517,236,22,2,11812.3
518,237,23,2,11582.21
519,237,36,2,20229.04
520,237,7,2,12282.99
521,238,81,1,10301.12
522,239,46,3,19993.83
523,239,4,1,9426.18
524,239,64,2,10381.79
525,239,26,1,19703.72
526,240,37,1,12962.99
527,240,84,1,16345.67
528,241,59,1,6482.68
529,242,33,1,11031.44
530,242,61,2,18982.89
531,242,59,1,6688.81
532,243,34,1,12360.4
533,243,88,1,3868.49
534,244,26,1,20090.78
535,244,82,1,15875.29
536,244,40,4,26449.53
537,245,76,1,8277.6
538,246,1,1,8762.68
539,246,76,2,8003.64
540,246,12,2,14414.35
541,246,31,2,14827.13
542,247,2,3,6898.19
543,247,4,1,10284.89
544,248,37,1,13715.75
545,249,91,1,14798.38
546,250,89,1,2324.06
547,251,18,1,11602.53
548,251,84,2,17361.04
549,252,88,6,3957.79
550,252,81,2,10512.52
551,252,32,1,8163.04
552,252,47,1,13949.05
553,253,26,1,18740.64
554,253,41,4,22142.25
555,254,16,2,11609.28
556,255,12,2,14398.84
557,255,8,2,13488.48
558,255,14,3,7810.27
559,255,64,1,9691.54
560,256,93,1,5677.1
561,256,91,2,13532.55
562,257,79,2,4042.34
563,258,54,1,26846.72
564,258,2,2,6697.45
565,258,30,1,27269.58
566,258,86,2,27317.86
567,259,14,1,7490.22
568,259,38,1,4680.41
569,259,24,3,15173.57
570,260,2,1,6823.33
571,260,33,2,12046.01
572,260,46,2,19430.6
573,261,37,2,12467.32
574,261,38,1,4538.79
575,262,94,1,28035.04
576,262,95,2,66285.68
577,263,22,1,11888.07
578,263,16,1,12047.14
579,263,90,2,15099.87
580,264,83,1,12053.87
581,265,57,1,29479.32
582,266,46,1,19871.19
583,266,91,1,14854.75
584,267,81,3,10769.34
585,267,55,1,34492.37
586,268,88,2,3777.05
587,268,61,1,19705.83
588,268,6,2,40937.19
589,268,90,1,13854.77
590,269,2,3,6776.12
591,269,11,2,13656.24
592,269,85,1,71759.87
593,269,13,1,5913.36
594,270,83,1,11752.07
595,270,21,1,9035.75
596,270,51,1,9042.12
597,271,83,1,10710.84
598,272,34,1,12284.66
599,272,29,1,5588.04
600,273,8,1,13568.04
601,273,14,1,7583.55
602,274,76,1,8653.05
603,275,24,4,14278.28
604,275,16,1,11759.39
605,276,16,1,11192.72
606,277,60,2,8879.46
607,277,22,2,11375.4
608,277,70,2,32875.28
609,278,76,12,8241.11
610,278,95,1,62962.51
611,278,46,1,18684.26
612,279,38,2,4868.31
613,279,14,1,7992.63
614,279,1,1,9086.09
615,280,80,1,12128.21
616,280,2,1,6874.53
617,280,4,1,9578.34
618,281,14,1,7693.86
619,281,38,4,4857.99
620,282,93,2,5248.92
621,282,51,2,8521.8
622,283,42,2,11959.57
623,283,26,1,18021.39
624,283,20,2,5427.74
625,284,14,1,7736.97
626,284,26,2,18554.85
627,284,85,1,70946.34
628,285,4,1,10414.06
629,285,24,1,14634.19
630,286,68,2,12660.12
631,287,4,4,9495.65
632,287,45,18,114677.88
633,288,7,1,13078.46
634,288,98,3,4096.93
635,288,83,1,10821.22
636,288,75,2,44596.49
637,289,37,2,13884.85
638,289,76,1,8510.63
639,290,81,1,10322.26
640,290,68,2,13166.24
641,291,94,1,25842.54
642,291,26,4,18566.46
643,291,76,18,8840.87
644,292,74,2,17461.98
645,292,89,1,2274.87
646,292,49,1,4881.62
647,292,18,1,11384.61
648,293,55,2,36795.71
649,293,22,1,10924.23
650,293,91,1,14830.74
651,294,70,1,31418.46
652,294,34,1,12197.99
653,294,14,2,7523.08
654,294,26,2,18616.45
655,295,84,24,17839.99
656,296,96,1,22171.1
657,297,88,1,3611.31
658,297,18,1,12078.46
659,298,14,4,8037.17
660,299,56,3,11498.03
661,299,47,2,13122.1
662,300,91,1,13970.69
663,301,94,1,26730.09
664,301,54,1,27726.42
665,302,52,1,14804.41
666,303,51,1,8570.65
667,303,5,1,90339.59
668,303,52,2,15250.28
669,304,82,1,15797.9
670,304,55,1,35770.6
671,305,85,2,72349.02
672,305,51,1,8821.11
673,305,14,2,7240.73
674,306,32,1,7766.7
675,306,34,1,12378.95
676,307,100,4,29808.93
677,307,40,2,27487.89
678,308,59,1,6021.06
679,308,32,2,7692.24
680,309,76,1,8137.25
681,310,34,3,11700.56
682,311,89,4,2355.43
683,312,66,3,17600.76
684,312,4,1,10309.7
685,313,86,1,30306.81
686,313,27,3,13592.9
687,314,4,1,10177.5
688,314,47,1,13371.75
689,315,5,2,93402.61
690,315,55,1,35241.87
691,316,76,3,8257.6
692,316,84,1,17025.72
693,317,1,2,9045.81
694,317,81,6,10840.57
695,318,36,1,18124.18
696,318,61,2,18765.51
697,318,32,1,7383.86
698,318,74,2,16823.4
699,319,59,1,6316.66
700,320,18,1,11397.43
701,320,62,1,14389.45
702,321,14,1,7688.63
703,321,88,1,3590.85
704,322,7,1,12939.53
705,322,81,1,10019.9
706,322,22,1,10821.02
707,323,38,2,5118.41
708,324,5,1,91750.8
709,324,15,1,61156.99
710,324,22,1,10848.78
711,324,86,1,27401.1
712,325,51,1,9423.03
713,325,63,1,9897.9
714,325,2,1,6963.29
715,325,61,12,20297.03
716,326,89,2,2345.65
717,326,26,1,17924.83
718,326,2,1,6701.42
719,326,86,1,30007.54
720,326,55,2,35220.69
721,327,61,1,19293.24
722,327,4,1,10433.23
723,327,22,1,11141.54
724,328,14,1,7550.11
725,329,83,1,11297.96
726,329,59,2,5965.28
727,329,30,1,27001.28
728,329,26,1,19316.53
729,330,22,1,11837.32
730,330,21,2,8634.35
731,331,73,1,6919.69
732,331,38,1,4967.19
733,331,42,1,11244.78
734,332,79,2,3833.84
735,333,74,1,17541.64
736,333,48,4,7434.86
737,333,1,2,9374.57
738,334,26,4,19397.55
739,334,48,2,6925.19
740,334,83,1,11818.54
741,335,83,2,11931.26
742,335,85,2,71504.61
743,335,46,2,18485.37
744,336,92,3,9256.48
745,336,34,1,12460.45
746,337,29,2,5207.89
747,337,14,1,7851.65
748,338,16,2,10993.16
749,339,71,1,9520.14
750,340,81,2,10240.46
751,341,6,1,38203.17
752,342,96,2,20652.02
753,343,49,1,4857.32
754,343,59,2,6656.56
755,344,30,1,28831.48
756,345,52,1,14955.93
757,346,26,1,19599.73
758,346,17,1,26319.66
759,346,36,2,18701.87
760,347,53,2,15623.16
761,347,2,1,6688.02
762,347,41,1,22837.24
763,347,69,1,4515.91
764,348,10,1,39562.66
765,348,4,1,9919.88
766,348,59,3,6562.61
767,349,22,2,10630.87
768,349,3,1,8574.02
769,349,46,1,19954.45
770,350,37,3,12588.97
771,350,26,1,18525.14
772,350,16,1,11301.5
773,350,22,2,11874.33
774,351,59,1,6016.99
775,352,16,2,11775.83
776,353,55,2,37028.45
777,353,90,3,14776.27
778,353,12,2,13602.75
779,354,73,1,6604.32
780,355,72,3,12048.13
781,355,82,1,16950.25
782,356,67,3,23554.32
783,357,7,1,13102.16
784,357,46,2,19097.06
785,358,4,1,10011.21
786,358,2,2,6886.26
787,359,55,3,34881.41
788,359,24,1,15416.55
789,359,61,2,18148.52
790,359,43,1,12505.28
791,360,2,6,6717.05
792,361,27,2,13118.8
793,362,4,2,9998.43
794,362,55,3,34323.09
795,362,72,1,11835.54
796,362,59,4,6279.5
797,363,59,1,6678.97
798,363,8,4,12993.67
799,364,61,1,19371.54
800,364,93,12,5362.96
801,365,24,2,14582.35
802,365,51,1,8526.82
803,366,86,2,29773.05
804,366,69,2,4725.97
805,366,59,1,6503.67
806,367,29,1,5541.25
807,368,66,1,17214.5
808,368,70,1,30895.37
809,368,12,1,13745.7
810,369,2,3,6849.3
811,369,68,1,12714.12
812,369,24,2,14406.14
813,370,74,2,17640.86
814,370,36,1,18332.89
815,370,68,1,12757.85
816,370,26,1,19330.33
817,371,26,1,18063.39
818,371,34,1,11443.41
819,372,62,3,14901.4
820,372,70,1,30204.04
821,373,85,2,77113.93
822,374,89,1,2252.04
823,374,11,1,13310.4
824,375,14,1,8102.77
825,375,38,1,4555.69
826,376,71,2,10049.46
827,376,38,1,4781.74
828,376,67,1,24275.71
829,377,13,1,5835.67
830,377,56,1,11514.34
831,378,23,1,10744.48
832,378,32,2,7884.61
833,378,90,1,13918.74
834,379,32,1,7356.05
835,380,94,2,27525.92
836,380,29,1,5194.21
837,380,56,1,11199.77
838,381,11,1,14009.11
839,382,56,4,11026.56
840,382,37,1,13112.08
841,382,60,1,8712.28
842,382,34,1,11661.44
843,383,76,4,8636.37
844,384,97,2,7540.61
845,384,62,2,15294.0
846,384,56,2,11031.89
847,384,72,2,11747.08
848,385,90,1,14910.16
849,386,90,1,14693.4
850,386,46,2,19031.94
851,386,7,1,12188.08
852,387,48,3,7123.58
853,387,75,1,48855.24
854,388,37,1,13317.59
855,388,73,2,6163.95
856,389,89,1,2263.73
857,389,100,2,27801.72
858,390,75,2,44627.3
859,391,74,2,16599.24
860,391,86,1,29445.49
861,392,66,1,18311.09
862,392,74,4,16944.53
863,392,25,1,93991.92
864,393,21,1,9195.14
865,394,18,1,12221.45
866,395,31,1,13446.76
867,395,32,1,7559.18
868,396,41,2,21116.47
869,396,34,3,11613.45
870,396,51,1,8872.92
871,396,1,2,9326.77
872,397,4,4,9961.17
873,397,6,1,41470.91
874,397,90,1,14847.97
875,398,85,1,68821.92
876,398,54,1,25434.18
877,399,23,4,10912.52
878,399,88,1,3590.34
879,399,85,1,76441.96
880,400,22,2,11635.95
881,401,93,1,5508.87
882,401,33,2,10938.56
883,402,74,1,17444.1
884,402,21,1,9165.79
885,402,68,1,12663.17
886,403,71,2,10588.08
887,403,65,2,81819.92
888,404,55,1,37700.9
889,404,86,1,28845.79
890,405,26,2,20162.41
891,406,62,2,15638.07
892,407,34,1,11715.77
893,407,95,1,67014.86
894,407,38,2,4793.74
895,407,53,1,15927.58
896,408,32,2,7447.22
897,408,46,1,19349.94
898,408,72,4,12687.96
899,409,2,1,6643.81
900,409,92,1,9710.05
901,410,17,1,27351.61
902,410,86,1,28807.76
903,410,24,2,14360.81
904,410,14,1,7765.46
905,411,73,3,6536.73
906,412,84,4,16627.69
907,412,34,2,11982.27
908,412,37,2,13387.41
909,413,31,3,14050.22
910,414,36,1,20169.11
911,414,38,1,4711.3
912,414,2,2,7331.46
913,415,75,4,45683.52
914,415,41,1,22730.33
915,416,94,1,26137.11
916,417,85,1,70046.02
917,417,26,1,18916.03
918,418,34,2,12031.91
919,418,31,1,14282.99
920,419,91,2,13793.62
921,419,83,2,11047.0
922,420,61,1,18824.04
923,420,33,1,11431.26
924,421,34,1,12420.77
925,422,38,1,4724.25
926,422,24,4,15117.69
927,423,99,3,7571.33
928,424,88,1,3960.06
929,424,91,1,13326.5
930,425,47,2,13586.31
931,425,63,1,10516.0
932,425,38,2,4739.25
933,426,74,1,17757.92
934,427,69,4,4400.68
935,427,85,1,72390.28
936,428,51,2,8512.62
937,428,93,1,5730.0
938,429,74,1,18637.97
939,429,6,1,41022.63
940,430,4,1,10232.12
941,430,57,1,26973.36
942,431,32,4,8006.74
943,432,56,4,10781.44
944,433,46,1,19791.16
945,434,71,2,10461.09
946,435,94,1,28558.03
947,435,23,3,11876.17
948,435,52,1,15436.07
949,435,54,1,26511.37
950,435,22,1,10868.99
951,436,72,1,11639.55
952,436,7,4,11826.46
953,437,7,1,12159.65
954,437,71,2,10141.98
955,437,16,4,10714.37
956,437,43,1,12090.35
957,438,26,2,18234.97
958,438,29,2,5378.62
959,439,88,1,3884.49
960,439,82,1,16258.29
961,440,14,1,7349.14
962,440,66,1,18431.54
963,440,52,1,13952.13
964,441,43,2,12001.58
965,441,54,1,26097.31
966,442,25,6,96657.8
967,442,24,3,15810.57
968,442,58,4,9520.01
969,442,33,3,10882.85
970,442,88,1,3981.73
971,443,23,1,11086.63
972,443,85,2,75642.22
973,444,29,2,5523.02
974,445,14,3,7527.27
975,446,38,1,4644.35
976,447,83,1,11294.89
977,448,2,1,6893.35
978,448,24,1,15053.04
979,448,74,1,16753.26
980,448,34,2,11976.03
981,449,4,3,10235.99
982,449,6,1,38801.81
983,450,74,1,16950.54
984,450,36,1,18515.87
985,451,34,4,11966.35
986,451,33,2,11572.02
987,452,62,2,15783.82
988,452,49,1,5124.08
989,452,86,2,27371.32
990,453,33,3,11958.25
991,453,76,1,8458.52
992,453,11,1,13569.91
993,454,2,1,6732.76
994,454,24,2,15796.8
995,454,94,2,28112.68
996,455,81,2,10631.56
997,456,56,1,10731.79
998,456,86,3,29652.47
999,457,59,1,6036.55
1000,457,74,2,16712.47
1001,457,81,4,10559.58
1002,458,14,1,7177.63
1003,458,26,3,17950.36
1004,458,91,2,14651.26
1005,458,87,2,14627.89
1006,459,56,1,10390.0
1007,459,66,2,18010.5
1008,459,51,1,9213.82
1009,460,2,1,6763.18
1010,461,82,1,16524.59
1011,462,42,2,11682.65
1012,462,24,1,14924.61
1013,462,84,2,15840.25
1014,463,76,1,8099.14
1015,463,82,1,16430.47
1016,464,27,4,12973.05
1017,464,36,3,19679.18
1018,465,92,4,8989.02
1019,465,31,2,14915.26
1020,466,87,2,14002.68
1021,467,9,1,6480.83
1022,467,63,3,9749.57
1023,467,91,3,14033.83
1024,468,64,1,10115.03
1025,469,48,1,7436.13
1026,469,67,1,26236.39
1027,469,88,2,3627.44
1028,470,14,1,7621.66
1029,470,69,2,4689.3
1030,470,64,4,10461.39
1031,471,43,1,12385.64
1032,472,74,1,18536.67
1033,472,43,2,12477.68
1034,473,90,1,14166.23
1035,473,4,1,9753.29
1036,473,61,1,20344.28
1037,474,48,2,7154.83
1038,474,29,1,5251.59
1039,474,93,1,5419.96
1040,474,62,1,15489.88
1041,475,10,1,42877.25
1042,475,89,1,2092.9
1043,476,2,1,6536.53
1044,477,81,4,10242.24
1045,478,29,2,5121.8
1046,478,74,2,17912.75
1047,479,2,1,7196.23
1048,480,92,1,9134.91
1049,481,60,4,8207.57
1050,481,39,1,7477.02
1051,481,46,2,19709.99
1052,482,1,1,9272.37
1053,482,90,4,14480.81
1054,482,4,1,9496.51
1055,483,73,1,6300.11
1056,483,21,1,8393.61
1057,484,71,1,9887.92
1058,485,18,1,10955.21
1059,485,1,1,9475.07
1060,485,70,1,32089.01
1061,486,76,6,8798.68
1062,487,34,2,11094.69
1063,487,3,1,8373.06
1064,487,16,1,11700.91
1065,488,64,1,10548.1
1066,488,14,2,7284.97
1067,489,55,1,34524.89
